,Month,Sex,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
75,01-2020,Female,Massachusetts,10784.0,7359.0,132.0,74130.0
76,01-2020,Female,Michigan,11978.0,11061.0,249.0,122161.0
77,01-2020,Female,Minnesota,5693.0,4328.0,62.0,55084.0
78,01-2020,Female,Mississippi,5439.0,5019.0,21.0,42025.0
79,01-2020,Female,Missouri,8012.0,6416.0,125.0,80249.0
80,01-2020,Female,Montana,1074.0,687.0,0.0,11441.0
81,01-2020,Female,Nebraska,1875.0,1653.0,18.0,20258.0
82,01-2020,Female,Nevada,2722.0,3593.0,0.0,30335.0
83,01-2020,Female,New Hampshire,728.0,617.0,0.0,13801.0
84,01-2020,Female,New Jersey,17560.0,12494.0,81.0,101438.0
85,01-2020,Female,New Mexico,2697.0,2227.0,18.0,23478.0
86,01-2020,Female,New York,16098.0,14476.0,176.0,127676.0
87,01-2020,Female,New York City,19756.0,11836.0,812.0,84311.0
88,01-2020,Female,North Carolina,9001.0,9715.0,226.0,118238.0
89,01-2020,Female,North Dakota,1274.0,894.0,0.0,8542.0
90,01-2020,Female,Ohio,15159.0,12149.0,234.0,154298.0
91,01-2020,Female,Oklahoma,5060.0,4847.0,64.0,48754.0
92,01-2020,Female,Oregon,1406.0,1833.0,26.0,41398.0
93,01-2020,Female,Pennsylvania,19194.0,13241.0,301.0,167986.0
94,01-2020,Female,Puerto Rico,1336.0,4150.0,23.0,31286.0
95,01-2020,Female,Rhode Island,1921.0,1088.0,0.0,12787.0
96,01-2020,Female,South Carolina,5748.0,5333.0,78.0,63455.0
97,01-2020,Female,South Dakota,1533.0,903.0,0.0,9936.0
98,01-2020,Female,Tennessee,7587.0,8974.0,117.0,93403.0
99,01-2020,Female,Texas,31406.0,30405.0,494.0,261794.0
100,01-2020,Female,United States,378234.0,340949.0,9890.0,3552229.0
101,01-2020,Female,Utah,1253.0,1315.0,0.0,23146.0
102,01-2020,Female,Vermont,83.0,121.0,0.0,6088.0
103,01-2020,Female,Virginia,6149.0,5270.0,55.0,84862.0
104,01-2020,Female,Washington,3448.0,4750.0,66.0,65532.0
105,01-2020,Female,West Virginia,1496.0,2082.0,26.0,26421.0
106,01-2020,Female,Wisconsin,5974.0,3992.0,89.0,65477.0
107,01-2020,Female,Wyoming,400.0,299.0,0.0,5189.0
108,01-2020,Male,Alabama,7781.0,6111.0,77.0,77185.0
109,01-2020,Male,Alaska,179.0,167.0,0.0,6745.0
110,01-2020,Male,Arizona,12405.0,11952.0,73.0,98257.0
111,01-2020,Male,Arkansas,4311.0,4420.0,35.0,45694.0
112,01-2020,Male,California,45386.0,48015.0,884.0,400824.0
113,01-2020,Male,Colorado,5989.0,5601.0,64.0,59206.0
114,01-2020,Male,Connecticut,6446.0,3400.0,36.0,43299.0
115,01-2020,Male,Delaware,997.0,788.0,0.0,12772.0
116,01-2020,Male,District of Columbia,1185.0,1515.0,0.0,9921.0
117,01-2020,Male,Florida,27220.0,31784.0,410.0,298161.0
118,01-2020,Male,Georgia,12413.0,11618.0,92.0,126796.0
119,01-2020,Male,Hawaii,408.0,837.0,0.0,14670.0
120,01-2020,Male,Idaho,1749.0,1321.0,0.0,19839.0
121,01-2020,Male,Illinois,19914.0,17221.0,123.0,153314.0
122,01-2020,Male,Indiana,10623.0,10320.0,68.0,94180.0
