,Month,Sex,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
388,01-2022,Female,Georgia,4577.0,3355.0,13.0,33002.0
389,01-2022,Female,Hawaii,159.0,186.0,0.0,3760.0
390,01-2022,Female,Idaho,539.0,455.0,0.0,5301.0
391,01-2022,Female,Illinois,5542.0,4563.0,0.0,42079.0
392,01-2022,Female,Indiana,3808.0,3053.0,15.0,23458.0
393,01-2022,Female,Iowa,1160.0,980.0,10.0,11112.0
394,01-2022,Female,Kansas,1457.0,1019.0,0.0,11044.0
395,01-2022,Female,Kentucky,3331.0,2692.0,0.0,18139.0
396,01-2022,Female,Louisiana,1846.0,1378.0,0.0,15470.0
397,01-2022,Female,Maine,488.0,256.0,0.0,5600.0
398,01-2022,Female,Maryland,2689.0,2021.0,0.0,19697.0
399,01-2022,Female,Massachusetts,2389.0,1865.0,0.0,22252.0
400,01-2022,Female,Michigan,4660.0,3647.0,0.0,36351.0
401,01-2022,Female,Minnesota,1575.0,1236.0,0.0,16393.0
402,01-2022,Female,Mississippi,2218.0,1522.0,0.0,13012.0
403,01-2022,Female,Missouri,3494.0,2728.0,14.0,24570.0
404,01-2022,Female,Montana,377.0,230.0,0.0,3499.0
405,01-2022,Female,Nebraska,653.0,537.0,0.0,5706.0
406,01-2022,Female,Nevada,1638.0,1659.0,0.0,9972.0
407,01-2022,Female,New Hampshire,351.0,307.0,0.0,4750.0
408,01-2022,Female,New Jersey,4082.0,2893.0,0.0,29203.0
409,01-2022,Female,New Mexico,1081.0,832.0,0.0,7092.0
410,01-2022,Female,New York,5016.0,4094.0,0.0,39221.0
411,01-2022,Female,New York City,3715.0,2260.0,0.0,21876.0
412,01-2022,Female,North Carolina,4500.0,3517.0,0.0,30232.0
413,01-2022,Female,North Dakota,213.0,189.0,0.0,2107.0
414,01-2022,Female,Ohio,7760.0,5655.0,11.0,47188.0
415,01-2022,Female,Oklahoma,2799.0,2217.0,14.0,16175.0
416,01-2022,Female,Oregon,1177.0,809.0,0.0,12955.0
417,01-2022,Female,Pennsylvania,7100.0,5065.0,28.0,52204.0
418,01-2022,Female,Puerto Rico,763.0,1578.0,0.0,9730.0
419,01-2022,Female,Rhode Island,414.0,280.0,0.0,3715.0
420,01-2022,Female,South Carolina,2576.0,1855.0,0.0,18733.0
421,01-2022,Female,South Dakota,273.0,250.0,0.0,2678.0
422,01-2022,Female,Tennessee,4647.0,3762.0,23.0,30213.0
423,01-2022,Female,Texas,11919.0,9835.0,66.0,81403.0
424,01-2022,Female,United States,146085.0,117185.0,1600.0,1082095.0
425,01-2022,Female,Utah,568.0,487.0,0.0,7496.0
426,01-2022,Female,Vermont,73.0,74.0,0.0,1926.0
427,01-2022,Female,Virginia,3542.0,2401.0,0.0,27340.0
428,01-2022,Female,Washington,2004.0,1894.0,0.0,20668.0
429,01-2022,Female,West Virginia,1424.0,1331.0,0.0,9056.0
430,01-2022,Female,Wisconsin,2219.0,1328.0,0.0,19911.0
431,01-2022,Female,Wyoming,102.0,70.0,0.0,1560.0
432,01-2022,Male,Alabama,3570.0,2169.0,0.0,23545.0
433,01-2022,Male,Alaska,159.0,103.0,0.0,1768.0
434,01-2022,Male,Arizona,5120.0,4151.0,0.0,31541.0
435,01-2022,Male,Arkansas,2144.0,1777.0,0.0,14939.0
436,01-2022,Male,California,17404.0,15976.0,14.0,122601.0
437,01-2022,Male,Colorado,2593.0,2075.0,0.0,18832.0
438,01-2022,Male,Connecticut,1784.0,1326.0,0.0,12280.0
439,01-2022,Male,Delaware,614.0,478.0,0.0,4091.0
440,01-2022,Male,District of Columbia,354.0,285.0,0.0,2597.0
441,01-2022,Male,Florida,11599.0,11244.0,12.0,94423.0
442,01-2022,Male,Georgia,5729.0,4275.0,11.0,37274.0
443,01-2022,Male,Hawaii,349.0,386.0,0.0,4782.0
444,01-2022,Male,Idaho,779.0,562.0,0.0,6339.0
445,01-2022,Male,Illinois,7245.0,5916.0,0.0,48314.0
446,01-2022,Male,Indiana,4773.0,3847.0,0.0,26788.0
447,01-2022,Male,Iowa,1534.0,1158.0,0.0,11948.0
448,01-2022,Male,Kansas,2012.0,1435.0,0.0,12306.0
449,01-2022,Male,Kentucky,3834.0,3323.0,0.0,20737.0
450,01-2022,Male,Louisiana,2245.0,1605.0,0.0,17637.0
451,01-2022,Male,Maine,611.0,496.0,0.0,6440.0
452,01-2022,Male,Maryland,3083.0,2341.0,0.0,21407.0
453,01-2022,Male,Massachusetts,2801.0,2417.0,0.0,23574.0
454,01-2022,Male,Michigan,5665.0,4525.0,0.0,41072.0
455,01-2022,Male,Minnesota,2183.0,1668.0,12.0,17904.0
456,01-2022,Male,Mississippi,2394.0,1847.0,0.0,14433.0
457,01-2022,Male,Missouri,4390.0,3542.0,11.0,27415.0
458,01-2022,Male,Montana,477.0,428.0,0.0,4214.0
459,01-2022,Male,Nebraska,840.0,753.0,0.0,6245.0
460,01-2022,Male,Nevada,2354.0,2320.0,0.0,13613.0
461,01-2022,Male,New Hampshire,484.0,427.0,0.0,5336.0
462,01-2022,Male,New Jersey,5007.0,3642.0,0.0,31774.0
463,01-2022,Male,New Mexico,1504.0,1245.0,0.0,8868.0
464,01-2022,Male,New York,5796.0,5022.0,0.0,42732.0
465,01-2022,Male,New York City,4101.0,2762.0,0.0,25322.0
466,01-2022,Male,North Carolina,5210.0,4152.0,0.0,34765.0
467,01-2022,Male,North Dakota,319.0,331.0,0.0,2692.0
468,01-2022,Male,Ohio,9435.0,7015.0,10.0,53192.0
469,01-2022,Male,Oklahoma,3563.0,2824.0,11.0,18391.0
470,01-2022,Male,Oregon,1743.0,1179.0,0.0,15493.0
471,01-2022,Male,Pennsylvania,8668.0,6434.0,13.0,57059.0
472,01-2022,Male,Puerto Rico,1037.0,2017.0,0.0,12940.0
473,01-2022,Male,Rhode Island,497.0,311.0,0.0,4100.0
474,01-2022,Male,South Carolina,3201.0,2388.0,0.0,21872.0
475,01-2022,Male,South Dakota,419.0,301.0,0.0,3038.0
476,01-2022,Male,Tennessee,5481.0,4393.0,0.0,35911.0
477,01-2022,Male,Texas,16479.0,13457.0,41.0,97616.0
478,01-2022,Male,United States,187022.0,151761.0,1247.0,1251569.0
479,01-2022,Male,Utah,1068.0,782.0,0.0,8814.0
480,01-2022,Male,Vermont,147.0,100.0,0.0,2189.0
481,01-2022,Male,Virginia,4471.0,3109.0,0.0,31025.0
482,01-2022,Male,Washington,2726.0,2624.0,0.0,24625.0
483,01-2022,Male,West Virginia,1513.0,1490.0,0.0,10431.0
484,01-2022,Male,Wisconsin,2840.0,1796.0,0.0,22706.0
485,01-2022,Male,Wyoming,145.0,127.0,0.0,1982.0
