,State,Sex,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
90,New Jersey,All Sexes,70606.0,54692.0,219.0,461139.0
91,New Jersey,Female,30864.0,23609.0,81.0,219900.0
92,New Jersey,Male,39339.0,30578.0,89.0,241028.0
93,New Mexico,All Sexes,17716.0,15112.0,67.0,126490.0
94,New Mexico,Female,7137.0,5889.0,18.0,54829.0
95,New Mexico,Male,9899.0,8627.0,15.0,71310.0
96,New York,All Sexes,78277.0,70625.0,543.0,603902.0
97,New York,Female,35972.0,31477.0,176.0,290047.0
98,New York,Male,41828.0,38687.0,192.0,313676.0
99,New York City,All Sexes,78173.0,49064.0,2326.0,378634.0
100,New York City,Female,32131.0,20839.0,812.0,173724.0
101,New York City,Male,45558.0,27752.0,1389.0,204642.0
102,North Carolina,All Sexes,63867.0,61474.0,567.0,587574.0
103,North Carolina,Female,29300.0,27699.0,226.0,274994.0
104,North Carolina,Male,34100.0,33263.0,204.0,312264.0
105,North Dakota,All Sexes,5499.0,5250.0,24.0,42728.0
106,North Dakota,Female,2096.0,1812.0,0.0,18398.0
107,North Dakota,Male,3048.0,2753.0,0.0,23295.0
108,Ohio,All Sexes,95464.0,78487.0,651.0,759977.0
109,Ohio,Female,43767.0,34671.0,245.0,357901.0
110,Ohio,Male,51271.0,43333.0,260.0,401658.0
111,Oklahoma,All Sexes,35898.0,31098.0,278.0,253125.0
112,Oklahoma,Female,15676.0,13531.0,78.0,116290.0
113,Oklahoma,Male,19720.0,16978.0,67.0,136501.0
114,Oregon,All Sexes,15738.0,13545.0,94.0,219163.0
115,Oregon,Female,6469.0,5544.0,26.0,99816.0
116,Oregon,Male,8636.0,7547.0,49.0,118866.0
117,Pennsylvania,All Sexes,100474.0,76936.0,755.0,807500.0
118,Pennsylvania,Female,46623.0,34161.0,349.0,384154.0
119,Pennsylvania,Male,53379.0,42221.0,257.0,422939.0
120,Puerto Rico,All Sexes,9020.0,22909.0,70.0,168668.0
121,Puerto Rico,Female,3606.0,9983.0,23.0,73141.0
122,Puerto Rico,Male,4864.0,12462.0,22.0,94764.0
123,Rhode Island,All Sexes,7304.0,5322.0,10.0,60154.0
124,Rhode Island,Female,3349.0,2135.0,0.0,28759.0
125,Rhode Island,Male,3477.0,2530.0,0.0,30605.0
126,South Carolina,All Sexes,40100.0,31013.0,213.0,326247.0
127,South Carolina,Female,17932.0,13529.0,78.0,149501.0
128,South Carolina,Male,21708.0,17038.0,65.0,176535.0
129,South Dakota,All Sexes,6167.0,5355.0,12.0,49441.0
130,South Dakota,Female,2556.0,1917.0,0.0,22002.0
131,South Dakota,Male,3234.0,2623.0,0.0,26495.0
132,Tennessee,All Sexes,59437.0,57086.0,503.0,490600.0
133,Tennessee,Female,26535.0,25329.0,140.0,224678.0
134,Tennessee,Male,32491.0,31257.0,164.0,265554.0
135,Texas,All Sexes,221332.0,191996.0,1446.0,1392065.0
136,Texas,Female,91215.0,80817.0,580.0,624875.0
137,Texas,Male,129744.0,110772.0,597.0,767175.0
138,United States,All Sexes,2248527.0,1985524.0,26158.0,17902411.0
139,United States,Female,985601.0,862901.0,12717.0,8246360.0
140,United States,Male,1262926.0,1122623.0,13441.0,9656051.0
141,Utah,All Sexes,11283.0,9928.0,51.0,120453.0
142,Utah,Female,3879.0,3474.0,0.0,54923.0
143,Utah,Male,6801.0,5711.0,34.0,65125.0
144,Vermont,All Sexes,1016.0,1292.0,0.0,32271.0
145,Vermont,Female,301.0,351.0,0.0,14458.0
146,Vermont,Male,412.0,480.0,0.0,16938.0
147,Virginia,All Sexes,42728.0,34417.0,245.0,430733.0
148,Virginia,Female,19489.0,15241.0,55.0,202405.0
149,Virginia,Male,22737.0,18649.0,68.0,228090.0
150,Washington,All Sexes,26671.0,30933.0,250.0,342022.0
151,Washington,Female,10993.0,12639.0,66.0,156806.0
152,Washington,Male,15257.0,17807.0,88.0,185003.0
153,West Virginia,All Sexes,14928.0,16040.0,66.0,143591.0
154,West Virginia,Female,6575.0,6967.0,26.0,65215.0
155,West Virginia,Male,7865.0,8706.0,30.0,77756.0
156,Wisconsin,All Sexes,31776.0,22600.0,286.0,317338.0
157,Wisconsin,Female,13868.0,9579.0,89.0,148309.0
158,Wisconsin,Male,17439.0,12684.0,124.0,168871.0
159,Wyoming,All Sexes,3102.0,2637.0,0.0,29373.0
160,Wyoming,Female,1226.0,964.0,0.0,12393.0
161,Wyoming,Male,1541.0,1213.0,0.0,15974.0
